n_b,rho_b,n_n,n_p,lambda,xi_n,xi_p,kappa,R,epsilon,A_nn,A_pp,A_np
[1/fm**3],[g/cm**3],[1/fm**3],[1/fm**3],[cm],[cm],[cm],[],[],[],[MeV fm**5],[MeV fm**5],[MeV fm**5]
0.06,99632340000000.0,0.05863993412784737,0.0013600658721526296,1.9454917882468117e-11,7.401817311178946e-11,1.0916709913064064e-12,17.82122822480274,0.014748688672140806,0.023193509549096703,35.724187286947526,544.6741538417022,90.01333783514502
0.06108216432865731,101429316072144.28,0.05967208520812602,0.0014100791205312873,1.9106785699594134e-11,6.55470854911059e-11,1.0878953443377417e-12,17.56307332230144,0.016597158152597928,0.02363046499235233,35.29836647852479,527.9239562354131,89.74595423939901
0.062164328657314624,103226292144288.56,0.06070346218991963,0.0014608664673949983,1.877172197630832e-11,5.861642239187527e-11,1.0843813952767778e-12,17.31099598173853,0.018499617530855692,0.024065620224831073,34.87900368475855,512.0614172537506,89.47901892342895
0.06324649298597194,105023268216432.86,0.06173407354335435,0.001512419442617599,1.8449017707987123e-11,5.28671009170606e-11,1.0811176284357163e-12,17.0647644832887,0.02044972411352391,0.02449894127844104,34.46579223200911,497.02393548196386,89.21253266306023
0.06432865731462925,106820244288577.14,0.0627639277223243,0.001564729592304952,1.8138013697825615e-11,4.803973935481719e-11,1.0780932806016067e-12,16.824159860920464,0.022441697125767206,0.02493039631342891,34.05844599601662,482.7543386380687,88.94649617819803
0.06541082164328657,108617220360721.44,0.06379303315654564,0.001617788486740932,1.783809626833093e-11,4.394305639184123e-11,1.0752982805711518e-12,16.588974976186243,0.024470266041185042,0.02535995557337651,33.656697701586126,469.2003279910291,88.680910134329
0.06649298597194389,110414196432865.72,0.06482139824792327,0.0016715877240206186,1.7548693429253432e-11,4.0433394480063934e-11,1.072723194931156e-12,16.359013687943655,0.026530624221027803,0.02578759127699274,33.2602973868935,456.31398901826583,88.41577514370871
0.0675751503006012,112211172505010.0,0.06584903136720341,0.0017261189333977888,1.7269271424195435e-11,3.7401100563787936e-11,1.0703591788883737e-12,16.134090093131647,0.028618387233361377,0.02621327751614422,32.86901101546463,444.05135831497256,88.15109176653516
0.06865731462925852,114008148577154.31,0.06687594085089264,0.0017813737783658808,1.699933161311245e-11,3.4761255753539074e-11,1.0681979316066546e-12,15.914027831475112,0.030729555318147576,0.026636990159699614,32.48261921952776,432.37203950082994,87.88686051210729
0.06973947895791582,115805124649298.6,0.06790213499842554,0.0018373439594902882,1.6738407653342868e-11,3.244723359904909e-11,1.0662316555749392e-12,15.698659447807422,0.032860479532720054,0.027058706762797532,32.10091616046358,421.23886190336447,87.6230818399679
